Game, Date, PlayerID, GroupID, Time, Puzzle, Win, NumClicks, RegTime, DisplayTime, HintOn, NumHints, HintTime, Var1, Var2, Var3
29137,2025-02-05 09:57:54,Travis,1,47.0206,Candle,1,31,60,1,1,0,0,,,
29136,2025-02-04 13:39:56,Arthur,UWC,53.402,House of Tangrams,1,33,0,1,1,0,0,,,
29135,2025-02-04 13:38:58,Arthur,UWC,61.6194,House of Tangrams,1,25,0,1,1,0,0,,,
29134,2025-02-04 13:37:54,Arthur,UWC,527.104,House of Tangrams,1,159,0,1,1,2,480.555,,,
29133,2025-02-04 13:28:49,Arthur,UWC,63.7469,Candle,1,37,0,1,1,0,0,,,
29132,2025-02-04 13:27:37,Arthur,UWC,123.802,Candle,1,68,0,1,1,0,0,,,
29131,2025-02-04 13:25:12,Arthur,UWC,115.752,Candle,1,29,0,1,1,0,0,,,
29130,2025-02-04 07:03:19,house,house2,60,House of Tangrams,0,15,60,1,1,0,0,,,
29129,2025-02-04 01:47:15,Skutle0,Priv,60,House of Tangrams,0,37,60,1,1,0,0,,,
29128,2025-02-03 13:09:47,akjsdfkj,lsdjkfjasdfk,27.6257,Simple Chair,1,35,120,1,1,0,0,,,
29127,2025-02-03 13:08:40,akjsdfkj,lsdjkfjasdfk,120,Simple Chair,0,101,120,1,1,0,0,,,
29126,2025-02-03 13:07:51,Lindsey,Lindsey,120,Simple Chair,0,62,120,1,1,1,109.454,,,
29125,2025-02-03 13:06:52,ELli,mm,120,Simple Chair,0,61,120,1,1,1,108.518,,,
29123,2025-02-03 13:06:39,elifellus,NF,120,Simple Chair,0,74,120,1,1,0,0,,,
29124,2025-02-03 13:06:39,Azamat,NF,120,Simple Chair,0,74,120,1,1,0,0,,,
29122,2025-02-03 13:06:28,becca,survival,50.7902,Candle,1,21,120,1,1,0,0,,,
29121,2025-02-03 13:05:47,Blork,15,92.9405,Simple Chair,1,84,120,1,1,0,0,,,
29120,2025-02-03 13:05:27,player,group,60.2714,Simple Chair,1,43,120,1,1,0,0,,,
29119,2025-02-03 13:05:20,Amit,NF,41.2734,Simple Chair,1,31,120,1,1,0,0,,,
29118,2025-02-03 13:05:18,Lindsey,Lindsey,120,Candle,0,77,120,1,1,0,0,,,
29117,2025-02-03 13:05:04,becca,survival,120,Simple Chair,0,53,120,1,1,0,0,,,
29116,2025-02-03 13:04:35,akjsdfkj,lsdjkfjasdfk,38.0842,Candle,1,21,120,1,1,0,0,,,
29114,2025-02-03 13:03:22,Paaauly,QAC314,120,Simple Chair,0,91,120,1,1,0,0,,,
29115,2025-02-03 13:03:22,ryko,wran,101.79,Simple Chair,1,85,120,1,1,0,0,,,
29113,2025-02-03 13:03:09,Blork,15,44.6568,Candle,1,29,120,1,1,0,0,,,
29112,2025-02-03 13:02:59,ElliM,M,49.2691,Candle,1,28,120,1,1,0,0,,,
29111,2025-02-03 13:02:55,1234,12,120,Simple Chair,0,91,120,1,1,1,94.6365,,,
29110,2025-02-03 13:02:43,Amit,NF,61.8344,Candle,1,50,120,1,1,0,0,,,
29109,2025-02-03 13:02:40,Angelica,1,120,Simple Chair,0,53,120,1,1,2,55.3534,,,
29108,2025-02-03 13:02:34,elifellus,NF,120,Candle,0,45,120,1,1,0,0,,,
29107,2025-02-03 13:02:33,Azamat,NF,120,Candle,0,83,120,1,1,0,0,,,
29106,2025-02-03 13:00:52,becca,survival,120,Candle,0,88,120,1,1,3,38.9203,,,
29105,2025-02-03 13:00:45,player,group,66.1716,Candle,1,47,120,1,1,0,0,,,
29104,2025-02-03 13:00:33,1234,12,75.7873,Candle,1,46,120,1,1,0,0,,,
29103,2025-02-03 13:00:18,Paaauly,QAC314,101.372,Candle,1,49,120,1,1,0,0,,,
29102,2025-02-03 13:00:17,ryko,wran,109.982,Candle,1,77,120,1,1,0,0,,,
29101,2025-02-03 13:00:04,Angelica,1,120,Candle,0,55,120,1,1,0,0,,,
29100,2025-02-03 12:57:43,ckee,weswo,44.0532,Candle,1,36,120,1,1,0,0,,,
29099,2025-02-03 12:40:42,ckee,weswo,79.1013,Simple Chair,1,56,120,1,1,2,64.3685,,,
29098,2025-02-03 12:36:09,ckee,weswo,43.2034,Candle,1,33,120,1,1,0,0,,,
29097,2025-02-03 12:35:25,ckee,weswo,120,Candle,0,83,120,1,1,3,79.5703,,,
29096,2025-01-30 08:43:22,r32r23,r23r2,172.946,Candle,1,109,0,1,1,7,128.796,,,
29095,2025-01-29 08:40:04,fkjk,fd,120,House of Tangrams,0,50,120,1,1,0,0,d,4,2
29094,2025-01-24 07:07:35,56658788786,yoroyoro114,60,The Hook,0,34,60,1,1,2,32.3027,,hard,
29093,2025-01-22 15:05:13,o,1,356.439,Candle,1,160,0,1,1,7,222.433,,,
29092,2025-01-19 10:28:29,Me,A,83.1194,Candle,1,42,0,1,1,0,0,,,
29091,2025-01-18 17:45:24,jks123,chsgriz,104.419,Simple Chair,1,52,0,1,1,1,87.7362,,,
29090,2025-01-18 17:43:15,jks123,chsgriz,45.8401,Candle,1,27,0,1,1,0,0,,,
29089,2025-01-18 17:41:57,jks123,chsgrizz,60,Candle,0,23,60,1,0,0,0,,,
29088,2025-01-17 12:01:20,n,bbbbbbbbbbbb,85.6425,A Nice Lighthouse,1,59,0,1,1,0,0,,,
29087,2025-01-17 06:56:28,dty,dfgdfg,60,Simple Chair,0,40,60,1,1,2,50.2377,,,
29086,2025-01-13 23:03:35,a,a,55.1401,House of Tangrams,1,27,120,1,1,0,0,,,
29085,2025-01-13 23:02:38,a,a,120,House of Tangrams,0,46,120,1,1,0,0,,,
29084,2025-01-12 05:09:45,Leboo,Leboo,99.0178,Candle,1,42,0,1,1,0,0,,,
29083,2025-01-08 18:53:02,aza,saaaa,56.1224,The G,1,22,0,1,1,0,0,,,
29082,2025-01-08 18:50:03,aza,saaaa,106.421,The Hook,1,44,0,1,1,0,0,,,
29081,2025-01-02 04:30:47,128378734,476r947t9,63.347,Candle,1,40,0,1,1,0,0,,,
29080,2024-12-20 22:53:11,aaaaa,ieuuuuu,47.5532,Candle,1,25,60,1,1,0,0,,,
29079,2024-12-20 22:52:23,aaaaa,ieuuuuu,60,Candle,0,44,60,1,1,0,0,,,
29078,2024-12-20 22:51:21,aaaaa,ieuuuuu,60,Candle,0,28,60,1,1,0,0,,,
29077,2024-12-18 18:58:25,hh,h,99.4003,Crouching Cat,1,52,0,1,1,4,67.9645,,,
29076,2024-12-18 09:31:39,bob,bob,78.1366,The Hook,1,47,0,1,1,0,0,1,6,8
29075,2024-12-18 09:30:14,bob,bob,43.1267,Laughing Man,1,26,180,1,1,0,0,1,6,8
29074,2024-12-18 09:29:28,bob,bob,79.7182,Laughing Man,1,64,180,1,1,0,0,1,6,8
29073,2024-12-18 09:28:03,bob,bob,66.7858,Laughing Man,1,26,180,1,1,0,0,1,6,8
29072,2024-12-18 09:23:34,bob,bob,50.4341,Crouching Cat,1,28,180,1,1,0,0,1,6,8
29071,2024-12-18 09:22:21,bob,bob,112.874,Crouching Cat,1,38,180,1,1,6,28.2053,1,6,8
29070,2024-12-18 08:27:02,bob,bob,69.4788,Diamond,1,36,180,1,1,0,0,1,6,8
29069,2024-12-18 08:25:37,bob,bob,180,Diamond,0,69,180,1,1,3,125.803,1,6,8
29068,2024-12-18 07:11:16,bob,bob,60,Crouching Cat,0,24,60,1,1,0,0,1,6,8
29067,2024-12-08 18:05:11,fd,fd,76.5907,Diamond,1,27,0,1,1,0,0,,,
29066,2024-12-08 17:59:43,fd,fd,76.6694,House of Tangrams,1,32,0,1,1,0,0,,,
29065,2024-12-08 17:57:58,fd,fd,52.9055,Candle,1,22,0,1,1,0,0,,,
29064,2024-12-04 11:44:36,jam,123,60,A Nice Lighthouse,0,28,60,1,1,0,0,,,
29063,2024-12-04 11:36:48,123,123,189.69,Diamond,1,101,0,1,1,1,144.457,,,
29062,2024-12-04 10:37:45,Bob,Billy,102.557,The G,1,73,0,1,1,5,89.2528,,,
29061,2024-12-04 10:35:53,Bob,Billy,35.3867,Diamond,1,27,0,1,1,7,2.4368,,,
29060,2024-12-04 10:35:12,Bob,Billy,81.8057,Diamond,1,37,0,1,1,0,0,,,
29059,2024-12-03 20:20:07,a,ap,136.873,Diamond,1,66,0,1,1,5,70.4969,,,
29058,2024-12-03 17:58:01,Eden,Rose,91.4824,Diamond,1,54,0,1,1,0,0,,,
29057,2024-12-03 16:05:23,ht,y5,40.5378,Piano,1,27,0,1,1,6,1.65356,,,
29056,2024-12-03 15:59:39,ht,y5,28.7215,The G,1,22,0,1,1,0,0,,,
29055,2024-12-03 15:59:04,ht,y5,140.709,Laughing Man,1,95,0,1,1,4,89.823,,,
